ID_Embed_Dim,Static_Embed_Dim,Total_Params,AUC,F1,Precision,Recall,Accuracy
4,4,184801,0.9777334152334152,0.952112676056338,0.9441340782122905,0.9602272727272727,0.923961661341853
8,4,201245,0.9860818610818611,0.963884430176565,0.9531746031746032,0.9748376623376623,0.9424920127795527
16,4,234133,0.9935576810576812,0.9746478873239437,0.9664804469273743,0.9829545454545454,0.9597444089456869
32,8,312361,0.9970481845481847,0.981640146878825,0.9868744872846595,0.976461038961039,0.9712460063897763
64,16,468817,0.9962486837486838,0.9853658536585366,0.9869706840390879,0.9837662337662337,0.9769968051118211
